*History for Amtrak ALL TRAINS at SLM (Salem, OR)
*Train #	Sch Dp	Act Dp
505	09/01/2019 7:11 PM (Su)	7:39PM
508	09/01/2019 5:41 PM (Su)	5:47PM
11	09/01/2019 3:37 PM (Su)	3:45PM
14	09/01/2019 1:55 PM (Su)	2:45PM
513	09/01/2019 1:36 PM (Su)	1:40PM
506	09/01/2019 10:11 AM (Su)	10:15AM
505	08/31/2019 7:11 PM (Sa)	7:34PM
508	08/31/2019 5:41 PM (Sa)	5:48PM
11	08/31/2019 3:37 PM (Sa)	3:42PM
14	08/31/2019 1:55 PM (Sa)	2:43PM
513	08/31/2019 1:36 PM (Sa)	1:49PM
506	08/31/2019 10:11 AM (Sa)	10:21AM
505	08/30/2019 7:11 PM (Fr)	7:44PM
508	08/30/2019 5:41 PM (Fr)	5:50PM
11	08/30/2019 3:37 PM (Fr)	3:58PM
14	08/30/2019 1:55 PM (Fr)	5:38PM
511	08/30/2019 10:51 AM (Fr)	10:59AM
500	08/30/2019 6:41 AM (Fr)	6:49AM
505	08/29/2019 7:11 PM (Th)	9:17PM
508	08/29/2019 5:41 PM (Th)	6:21PM
11	08/29/2019 3:37 PM (Th)	4:03PM
14	08/29/2019 1:55 PM (Th)	3:26PM
511	08/29/2019 10:51 AM (Th)	10:55AM
500	08/29/2019 6:41 AM (Th)	6:54AM
505	08/28/2019 7:11 PM (We)	7:57PM
508	08/28/2019 5:41 PM (We)	6:54PM
11	08/28/2019 3:37 PM (We)	4:02PM
14	08/28/2019 1:55 PM (We)	2:45PM
511	08/28/2019 10:51 AM (We)	11:14AM
500	08/28/2019 6:41 AM (We)	6:55AM
505	08/27/2019 7:11 PM (Tu)	8:12PM
508	08/27/2019 5:41 PM (Tu)	7:37PM
11	08/27/2019 3:37 PM (Tu)	3:52PM
14	08/27/2019 1:55 PM (Tu)	2:20PM
511	08/27/2019 10:51 AM (Tu)	11:03AM
500	08/27/2019 6:41 AM (Tu)	6:45AM
505	08/26/2019 7:11 PM (Mo)	7:41PM
508	08/26/2019 5:41 PM (Mo)	5:49PM
11	08/26/2019 3:37 PM (Mo)	3:59PM
14	08/26/2019 1:55 PM (Mo)	2:59PM
511	08/26/2019 10:51 AM (Mo)	11:07AM
500	08/26/2019 6:41 AM (Mo)	6:51AM
505	08/25/2019 7:11 PM (Su)	9:11PM
508	08/25/2019 5:41 PM (Su)	5:48PM
11	08/25/2019 3:37 PM (Su)	3:57PM
14	08/25/2019 1:55 PM (Su)	2:48PM
513	08/25/2019 1:36 PM (Su)	1:51PM
506	08/25/2019 10:11 AM (Su)	10:16AM
505	08/24/2019 7:11 PM (Sa)	7:58PM
508	08/24/2019 5:41 PM (Sa)	5:44PM
11	08/24/2019 3:37 PM (Sa)	3:48PM
14	08/24/2019 1:55 PM (Sa)	3:02PM
513	08/24/2019 1:36 PM (Sa)	1:41PM
506	08/24/2019 10:11 AM (Sa)	10:19AM
505	08/23/2019 7:11 PM (Fr)	7:31PM
508	08/23/2019 5:41 PM (Fr)	5:49PM
11	08/23/2019 3:37 PM (Fr)	3:45PM
14	08/23/2019 1:55 PM (Fr)	3:07PM
511	08/23/2019 10:51 AM (Fr)	10:54AM
500	08/23/2019 6:41 AM (Fr)	6:44AM
505	08/22/2019 7:11 PM (Th)	7:44PM
508	08/22/2019 5:41 PM (Th)	5:58PM
11	08/22/2019 3:37 PM (Th)	3:42PM
14	08/22/2019 1:55 PM (Th)	4:47PM
511	08/22/2019 10:51 AM (Th)	10:59AM
500	08/22/2019 6:41 AM (Th)	6:48AM
505	08/21/2019 7:11 PM (We)	7:42PM
508	08/21/2019 5:41 PM (We)	5:56PM
11	08/21/2019 3:37 PM (We)	4:17PM
14	08/21/2019 1:55 PM (We)	2:24PM
511	08/21/2019 10:51 AM (We)	11:12AM
500	08/21/2019 6:41 AM (We)	6:50AM
505	08/20/2019 7:11 PM (Tu)	7:31PM
508	08/20/2019 5:41 PM (Tu)	5:52PM
11	08/20/2019 3:37 PM (Tu)	3:59PM
14	08/20/2019 1:55 PM (Tu)	2:25PM
511	08/20/2019 10:51 AM (Tu)	11:08AM
500	08/20/2019 6:41 AM (Tu)	6:45AM
505	08/19/2019 7:11 PM (Mo)	7:42PM
508	08/19/2019 5:41 PM (Mo)	5:44PM
11	08/19/2019 3:37 PM (Mo)	3:40PM
14	08/19/2019 1:55 PM (Mo)	2:41PM
511	08/19/2019 10:51 AM (Mo)	11:03AM
500	08/19/2019 6:41 AM (Mo)	6:55AM
505	08/18/2019 7:11 PM (Su)	7:41PM
508	08/18/2019 5:41 PM (Su)	5:48PM
11	08/18/2019 3:37 PM (Su)	3:53PM
14	08/18/2019 1:55 PM (Su)	1:58PM
513	08/18/2019 1:36 PM (Su)	1:41PM
506	08/18/2019 10:11 AM (Su)	10:21AM
505	08/17/2019 7:11 PM (Sa)	7:28PM
508	08/17/2019 5:41 PM (Sa)	5:46PM
11	08/17/2019 3:37 PM (Sa)	3:50PM
14	08/17/2019 1:55 PM (Sa)	2:32PM
513	08/17/2019 1:36 PM (Sa)	1:38PM
506	08/17/2019 10:11 AM (Sa)	10:18AM
505	08/16/2019 7:11 PM (Fr)	7:48PM
508	08/16/2019 5:41 PM (Fr)	5:55PM
11	08/16/2019 3:37 PM (Fr)	4:01PM
14	08/16/2019 1:55 PM (Fr)	3:22PM
511	08/16/2019 10:51 AM (Fr)	10:57AM
500	08/16/2019 6:41 AM (Fr)	6:49AM
505	08/15/2019 7:11 PM (Th)	7:39PM
508	08/15/2019 5:41 PM (Th)	5:54PM
11	08/15/2019 3:37 PM (Th)	3:50PM
14	08/15/2019 1:55 PM (Th)	2:50PM
511	08/15/2019 10:51 AM (Th)	11:13AM
500	08/15/2019 6:41 AM (Th)	6:49AM
505	08/14/2019 7:11 PM (We)	7:33PM
508	08/14/2019 5:41 PM (We)	5:47PM
11	08/14/2019 3:37 PM (We)	3:41PM
14	08/14/2019 1:55 PM (We)	2:35PM
511	08/14/2019 10:51 AM (We)	10:58AM
500	08/14/2019 6:41 AM (We)	6:43AM
505	08/13/2019 7:11 PM (Tu)	7:28PM
508	08/13/2019 5:41 PM (Tu)	5:48PM
11	08/13/2019 3:37 PM (Tu)	4:49PM
14	08/13/2019 1:55 PM (Tu)	3:37PM
511	08/13/2019 10:51 AM (Tu)	10:53AM
500	08/13/2019 6:41 AM (Tu)	6:45AM
505	08/12/2019 7:11 PM (Mo)	7:34PM
508	08/12/2019 5:41 PM (Mo)	5:50PM
11	08/12/2019 3:37 PM (Mo)	4:14PM
14	08/12/2019 1:55 PM (Mo)	3:20PM
511	08/12/2019 10:51 AM (Mo)	11:01AM
500	08/12/2019 6:41 AM (Mo)	6:57AM
505	08/11/2019 7:11 PM (Su)	7:35PM
508	08/11/2019 5:41 PM (Su)	5:44PM
11	08/11/2019 3:37 PM (Su)	3:53PM
14	08/11/2019 1:55 PM (Su)	3:06PM
513	08/11/2019 1:36 PM (Su)	1:41PM
506	08/11/2019 10:11 AM (Su)	
505	08/10/2019 7:11 PM (Sa)	
508	08/10/2019 5:41 PM (Sa)	5:46PM
11	08/10/2019 3:37 PM (Sa)	3:49PM
14	08/10/2019 1:55 PM (Sa)	5:12PM
513	08/10/2019 1:36 PM (Sa)	1:42PM
506	08/10/2019 10:11 AM (Sa)	10:54AM
505	08/09/2019 7:11 PM (Fr)	7:35PM
508	08/09/2019 5:41 PM (Fr)	5:46PM
11	08/09/2019 3:37 PM (Fr)	3:42PM
14	08/09/2019 1:55 PM (Fr)	2:30PM
511	08/09/2019 10:51 AM (Fr)	10:59AM
500	08/09/2019 6:41 AM (Fr)	6:45AM
505	08/08/2019 7:11 PM (Th)	7:37PM
508	08/08/2019 5:41 PM (Th)	5:55PM
11	08/08/2019 3:37 PM (Th)	4:36PM
14	08/08/2019 1:55 PM (Th)	3:32PM
511	08/08/2019 10:51 AM (Th)	11:05AM
500	08/08/2019 6:41 AM (Th)	6:51AM
505	08/07/2019 7:11 PM (We)	7:37PM
508	08/07/2019 5:41 PM (We)	5:43PM
11	08/07/2019 3:37 PM (We)	4:04PM
14	08/07/2019 1:55 PM (We)	2:51PM
511	08/07/2019 10:51 AM (We)	11:12AM
500	08/07/2019 6:41 AM (We)	6:57AM
505	08/06/2019 7:11 PM (Tu)	7:40PM
508	08/06/2019 5:41 PM (Tu)	5:50PM
11	08/06/2019 3:37 PM (Tu)	4:01PM
14	08/06/2019 1:55 PM (Tu)	2:15PM
511	08/06/2019 10:51 AM (Tu)	10:58AM
500	08/06/2019 6:41 AM (Tu)	6:47AM
505	08/05/2019 7:11 PM (Mo)	8:00PM
508	08/05/2019 5:41 PM (Mo)	5:50PM
11	08/05/2019 3:37 PM (Mo)	3:56PM
14	08/05/2019 1:55 PM (Mo)	2:30PM
511	08/05/2019 10:51 AM (Mo)	11:07AM
500	08/05/2019 6:41 AM (Mo)	6:44AM
505	08/04/2019 7:11 PM (Su)	8:00PM
508	08/04/2019 5:41 PM (Su)	5:47PM
11	08/04/2019 3:37 PM (Su)	3:51PM
14	08/04/2019 1:55 PM (Su)	7:17PM
513	08/04/2019 1:36 PM (Su)	1:45PM
506	08/04/2019 10:11 AM (Su)	10:13AM
505	08/03/2019 7:11 PM (Sa)	7:38PM
508	08/03/2019 5:41 PM (Sa)	5:42PM
11	08/03/2019 3:37 PM (Sa)	3:38PM
14	08/03/2019 1:55 PM (Sa)	7:57PM
513	08/03/2019 1:36 PM (Sa)	1:43PM
506	08/03/2019 10:11 AM (Sa)	10:15AM
505	08/02/2019 7:11 PM (Fr)	7:34PM
508	08/02/2019 5:41 PM (Fr)	5:46PM
11	08/02/2019 3:37 PM (Fr)	3:52PM
14	08/02/2019 1:55 PM (Fr)	3:30PM
511	08/02/2019 10:51 AM (Fr)	10:58AM
500	08/02/2019 6:41 AM (Fr)	6:45AM
505	08/01/2019 7:11 PM (Th)	7:44PM
508	08/01/2019 5:41 PM (Th)	5:44PM
11	08/01/2019 3:37 PM (Th)	3:42PM
14	08/01/2019 1:55 PM (Th)	2:39PM
511	08/01/2019 10:51 AM (Th)	10:58AM
500	08/01/2019 6:41 AM (Th)	6:44AM
505	07/31/2019 7:11 PM (We)	8:05PM
508	07/31/2019 5:41 PM (We)	6:04PM
